תאריך מדידה,מפלס הכנרת במטרים
18 Feb 2020, -209.880
17 Feb 2020, -209.895
16 Feb 2020, -209.915
15 Feb 2020, -209.925
14 Feb 2020, -209.940
13 Feb 2020, -209.960
11 Feb 2020, -210.020
10 Feb 2020, -210.040
9 Feb 2020, -210.080
8 Feb 2020, -210.130
7 Feb 2020, -210.150
6 Feb 2020, -210.165
5 Feb 2020, -210.185
4 Feb 2020, -210.200
3 Feb 2020, -210.220
2 Feb 2020, -210.245
1 Feb 2020, -210.270
31 Jan 2020, -210.300
30 Jan 2020, -210.325
29 Jan 2020, -210.345
28 Jan 2020, -210.370
27 Jan 2020, -210.390
26 Jan 2020, -210.410
25 Jan 2020, -210.440
24 Jan 2020, -210.490
23 Jan 2020, -210.530
22 Jan 2020, -210.555
21 Jan 2020, -210.595
20 Jan 2020, -210.665
19 Jan 2020, -210.715
18 Jan 2020, -210.740
17 Jan 2020, -210.760
16 Jan 2020, -210.780
15 Jan 2020, -210.795
14 Jan 2020, -210.810
13 Jan 2020, -210.840
12 Jan 2020, -210.860
11 Jan 2020, -210.900
10 Jan 2020, -210.960
9 Jan 2020, -211.100
8 Jan 2020, -211.330
7 Jan 2020, -211.340
6 Jan 2020, -211.390
5 Jan 2020, -211.480
4 Jan 2020, -211.500
3 Jan 2020, -211.520
2 Jan 2020, -211.530
1 Jan 2020, -211.540
31 Dec 2019, -211.550
30 Dec 2019, -211.560
29 Dec 2019, -211.575
28 Dec 2019, -211.610
27 Dec 2019, -211.680
26 Dec 2019, -211.765
25 Dec 2019, -211.825
24 Dec 2019, -211.820
23 Dec 2019, -211.820
22 Dec 2019, -211.820
21 Dec 2019, -211.825
20 Dec 2019, -211.825
19 Dec 2019, -211.825
18 Dec 2019, -211.825
17 Dec 2019, -211.830
16 Dec 2019, -211.830
15 Dec 2019, -211.830
14 Dec 2019, -211.835
13 Dec 2019, -211.840
12 Dec 2019, -211.850
11 Dec 2019, -211.850
10 Dec 2019, -211.855
9 Dec 2019, -211.870
8 Dec 2019, -211.870
7 Dec 2019, -211.875
6 Dec 2019, -211.875
5 Dec 2019, -211.880
4 Dec 2019, -211.885
3 Dec 2019, -211.885
2 Dec 2019, -211.890
1 Dec 2019, -211.900
30 Nov 2019, -211.900
29 Nov 2019, -211.900
28 Nov 2019, -211.900
27 Nov 2019, -211.895
26 Nov 2019, -211.895
25 Nov 2019, -211.895
24 Nov 2019, -211.890
23 Nov 2019, -211.890
22 Nov 2019, -211.890
21 Nov 2019, -211.890
20 Nov 2019, -211.880
19 Nov 2019, -211.870
18 Nov 2019, -211.860
17 Nov 2019, -211.850
16 Nov 2019, -211.845
15 Nov 2019, -211.850
14 Nov 2019, -211.850
13 Nov 2019, -211.845
12 Nov 2019, -211.840
11 Nov 2019, -211.840
10 Nov 2019, -211.835
9 Nov 2019, -211.835
8 Nov 2019, -211.830
7 Nov 2019, -211.830
6 Nov 2019, -211.825
5 Nov 2019, -211.820
4 Nov 2019, -211.820
3 Nov 2019, -211.820
2 Nov 2019, -211.820
1 Nov 2019, -211.820
31 Oct 2019, -211.815
30 Oct 2019, -211.815
29 Oct 2019, -211.815
28 Oct 2019, -211.815
27 Oct 2019, -211.815
26 Oct 2019, -211.810
25 Oct 2019, -211.805
24 Oct 2019, -211.800
23 Oct 2019, -211.795
22 Oct 2019, -211.795
21 Oct 2019, -211.790
20 Oct 2019, -211.780
19 Oct 2019, -211.780
18 Oct 2019, -211.780
17 Oct 2019, -211.775
16 Oct 2019, -211.775
15 Oct 2019, -211.770
14 Oct 2019, -211.765
13 Oct 2019, -211.760
12 Oct 2019, -211.755
11 Oct 2019, -211.750
10 Oct 2019, -211.750
9 Oct 2019, -211.745
8 Oct 2019, -211.740
7 Oct 2019, -211.740
6 Oct 2019, -211.740
5 Oct 2019, -211.735
4 Oct 2019, -211.730
3 Oct 2019, -211.730
2 Oct 2019, -211.725
